id,round,page_name,time_spent,time_entered,time_done
8TMC,1,S1,677,2021-02-01T11:45:42Z,2021-02-01T11:56:59Z
8TMC,1,S2,91,2021-02-01T11:56:59Z,2021-02-01T11:58:30Z
8TMC,1,S3,33,2021-02-01T11:58:30Z,2021-02-01T11:59:03Z
8TMC,2,S2,36,2021-02-01T11:59:03Z,2021-02-01T11:59:39Z
8TMC,2,S3,11,2021-02-01T11:59:39Z,2021-02-01T11:59:50Z
8TMC,3,S2,91,2021-02-01T11:59:50Z,2021-02-01T12:01:21Z
8TMC,3,S3,14,2021-02-01T12:01:21Z,2021-02-01T12:01:35Z
8TMC,4,S2,40,2021-02-01T12:01:35Z,2021-02-01T12:02:15Z
8TMC,4,S3,22,2021-02-01T12:02:15Z,2021-02-01T12:02:37Z
8TMC,5,S2,57,2021-02-01T12:02:37Z,2021-02-01T12:03:34Z
8TMC,5,S3,36,2021-02-01T12:03:34Z,2021-02-01T12:04:10Z
8TMC,6,S2,18,2021-02-01T12:04:10Z,2021-02-01T12:04:28Z
8TMC,6,S3,23,2021-02-01T12:04:28Z,2021-02-01T12:04:51Z
8TMC,7,S2,21,2021-02-01T12:04:51Z,2021-02-01T12:05:12Z
8TMC,7,S3,21,2021-02-01T12:05:12Z,2021-02-01T12:05:33Z
8TMC,8,S2,36,2021-02-01T12:05:33Z,2021-02-01T12:06:09Z
8TMC,8,S3,25,2021-02-01T12:06:09Z,2021-02-01T12:06:34Z
8TMC,9,S2,21,2021-02-01T12:06:34Z,2021-02-01T12:06:55Z
8TMC,9,S3,23,2021-02-01T12:06:55Z,2021-02-01T12:07:18Z
8TMC,10,S2,11,2021-02-01T12:07:18Z,2021-02-01T12:07:29Z
8TMC,10,S3,23,2021-02-01T12:07:29Z,2021-02-01T12:07:52Z
8TMC,10,S4,2670,2021-02-01T12:07:52Z,2021-02-01T12:52:22Z
9GKI,1,S1,358,2021-02-01T11:29:33Z,2021-02-01T11:35:31Z
9GKI,1,S2,43,2021-02-01T11:35:31Z,2021-02-01T11:36:14Z
9GKI,1,S3,103,2021-02-01T11:36:14Z,2021-02-01T11:37:57Z
9GKI,2,S2,26,2021-02-01T11:37:57Z,2021-02-01T11:38:23Z
9GKI,2,S3,69,2021-02-01T11:38:23Z,2021-02-01T11:39:32Z
9GKI,3,S2,36,2021-02-01T11:39:32Z,2021-02-01T11:40:08Z
9GKI,3,S3,18,2021-02-01T11:40:08Z,2021-02-01T11:40:26Z
9GKI,4,S2,17,2021-02-01T11:40:26Z,2021-02-01T11:40:43Z
9GKI,4,S3,10,2021-02-01T11:40:43Z,2021-02-01T11:40:53Z
9GKI,5,S2,11,2021-02-01T11:40:53Z,2021-02-01T11:41:04Z
9GKI,5,S3,6,2021-02-01T11:41:04Z,2021-02-01T11:41:10Z
9GKI,6,S2,13,2021-02-01T11:41:10Z,2021-02-01T11:41:23Z
9GKI,6,S3,4,2021-02-01T11:41:23Z,2021-02-01T11:41:27Z
9GKI,7,S2,16,2021-02-01T11:41:27Z,2021-02-01T11:41:43Z
9GKI,7,S3,4,2021-02-01T11:41:43Z,2021-02-01T11:41:47Z
9GKI,8,S2,10,2021-02-01T11:41:47Z,2021-02-01T11:41:57Z
9GKI,8,S3,3,2021-02-01T11:41:57Z,2021-02-01T11:42:00Z
9GKI,9,S2,16,2021-02-01T11:42:00Z,2021-02-01T11:42:16Z
9GKI,9,S3,4,2021-02-01T11:42:16Z,2021-02-01T11:42:20Z
9GKI,10,S2,20,2021-02-01T11:42:20Z,2021-02-01T11:42:40Z
9GKI,10,S3,4,2021-02-01T11:42:40Z,2021-02-01T11:42:44Z
9GKI,10,S4,438,2021-02-01T11:42:44Z,2021-02-01T11:50:02Z
9jrC,1,S1,248,2021-02-02T08:41:37Z,2021-02-02T08:45:45Z
9jrC,1,S2,29,2021-02-02T08:45:45Z,2021-02-02T08:46:14Z
9jrC,1,S3,28,2021-02-02T08:46:14Z,2021-02-02T08:46:42Z
9jrC,2,S2,130,2021-02-02T08:46:42Z,2021-02-02T08:48:52Z
9jrC,2,S3,14,2021-02-02T08:48:52Z,2021-02-02T08:49:06Z
9jrC,3,S2,18,2021-02-02T08:49:06Z,2021-02-02T08:49:24Z
9jrC,3,S3,4,2021-02-02T08:49:24Z,2021-02-02T08:49:28Z
9jrC,4,S2,12,2021-02-02T08:49:28Z,2021-02-02T08:49:40Z
9jrC,4,S3,4,2021-02-02T08:49:40Z,2021-02-02T08:49:44Z
9jrC,5,S2,33,2021-02-02T08:49:44Z,2021-02-02T08:50:17Z
9jrC,5,S3,17,2021-02-02T08:50:17Z,2021-02-02T08:50:34Z
9jrC,6,S2,10,2021-02-02T08:50:34Z,2021-02-02T08:50:44Z
9jrC,6,S3,3,2021-02-02T08:50:44Z,2021-02-02T08:50:47Z
9jrC,7,S2,9,2021-02-02T08:50:47Z,2021-02-02T08:50:56Z
9jrC,7,S3,7,2021-02-02T08:50:56Z,2021-02-02T08:51:03Z
9jrC,8,S2,11,2021-02-02T08:51:03Z,2021-02-02T08:51:14Z
9jrC,8,S3,2,2021-02-02T08:51:14Z,2021-02-02T08:51:16Z
9jrC,9,S2,8,2021-02-02T08:51:16Z,2021-02-02T08:51:24Z
9jrC,9,S3,6,2021-02-02T08:51:24Z,2021-02-02T08:51:30Z
9jrC,10,S2,8,2021-02-02T08:51:30Z,2021-02-02T08:51:38Z
9jrC,10,S3,2,2021-02-02T08:51:38Z,2021-02-02T08:51:40Z
9jrC,10,S4,108,2021-02-02T08:51:40Z,2021-02-02T08:53:28Z
9vEl,1,S1,249,2021-02-01T22:08:47Z,2021-02-01T22:12:56Z
9vEl,1,S2,33,2021-02-01T22:12:56Z,2021-02-01T22:13:29Z
9vEl,1,S3,17,2021-02-01T22:13:29Z,2021-02-01T22:13:46Z
9vEl,2,S2,39,2021-02-01T22:13:46Z,2021-02-01T22:14:25Z
9vEl,2,S3,13,2021-02-01T22:14:25Z,2021-02-01T22:14:38Z
9vEl,3,S2,12,2021-02-01T22:14:38Z,2021-02-01T22:14:50Z
9vEl,3,S3,4,2021-02-01T22:14:50Z,2021-02-01T22:14:54Z
9vEl,4,S2,18,2021-02-01T22:14:54Z,2021-02-01T22:15:12Z
9vEl,4,S3,1,2021-02-01T22:15:12Z,2021-02-01T22:15:13Z
9vEl,5,S2,13,2021-02-01T22:15:13Z,2021-02-01T22:15:26Z
9vEl,5,S3,4,2021-02-01T22:15:26Z,2021-02-01T22:15:30Z
9vEl,6,S2,8,2021-02-01T22:15:30Z,2021-02-01T22:15:38Z
9vEl,6,S3,2,2021-02-01T22:15:38Z,2021-02-01T22:15:40Z
9vEl,7,S2,13,2021-02-01T22:15:40Z,2021-02-01T22:15:53Z
9vEl,7,S3,2,2021-02-01T22:15:53Z,2021-02-01T22:15:55Z
9vEl,8,S2,9,2021-02-01T22:15:55Z,2021-02-01T22:16:04Z
9vEl,8,S3,2,2021-02-01T22:16:04Z,2021-02-01T22:16:06Z
9vEl,9,S2,7,2021-02-01T22:16:06Z,2021-02-01T22:16:13Z
9vEl,9,S3,2,2021-02-01T22:16:13Z,2021-02-01T22:16:15Z
9vEl,10,S2,7,2021-02-01T22:16:15Z,2021-02-01T22:16:22Z
9vEl,10,S3,3,2021-02-01T22:16:22Z,2021-02-01T22:16:25Z
9vEl,10,S4,227,2021-02-01T22:16:25Z,2021-02-01T22:20:12Z
bDfX,1,S1,492,2021-02-01T13:13:55Z,2021-02-01T13:22:07Z
bDfX,1,S2,196,2021-02-01T13:22:07Z,2021-02-01T13:25:23Z
bDfX,1,S3,109,2021-02-01T13:25:23Z,2021-02-01T13:27:12Z
bDfX,2,S2,182,2021-02-01T13:27:12Z,2021-02-01T13:30:14Z
bDfX,2,S3,25,2021-02-01T13:30:14Z,2021-02-01T13:30:39Z
bDfX,3,S2,125,2021-02-01T13:30:39Z,2021-02-01T13:32:44Z
bDfX,3,S3,109,2021-02-01T13:32:44Z,2021-02-01T13:34:33Z
bDfX,4,S2,196,2021-02-01T13:34:33Z,2021-02-01T13:37:49Z
bDfX,4,S3,7,2021-02-01T13:37:49Z,2021-02-01T13:37:56Z
bDfX,5,S2,34,2021-02-01T13:37:56Z,2021-02-01T13:38:30Z
bDfX,5,S3,7,2021-02-01T13:38:30Z,2021-02-01T13:38:37Z
bDfX,6,S2,170,2021-02-01T13:38:37Z,2021-02-01T13:41:27Z
bDfX,6,S3,13,2021-02-01T13:41:27Z,2021-02-01T13:41:40Z
bDfX,7,S2,110,2021-02-01T13:41:40Z,2021-02-01T13:43:30Z
bDfX,7,S3,12,2021-02-01T13:43:30Z,2021-02-01T13:43:42Z
bDfX,8,S2,20,2021-02-01T13:43:42Z,2021-02-01T13:44:02Z
bDfX,8,S3,3,2021-02-01T13:44:02Z,2021-02-01T13:44:05Z
bDfX,9,S2,58,2021-02-01T13:44:05Z,2021-02-01T13:45:03Z
bDfX,9,S3,4,2021-02-01T13:45:03Z,2021-02-01T13:45:07Z
bDfX,10,S2,56,2021-02-01T13:45:07Z,2021-02-01T13:46:03Z
bDfX,10,S3,11,2021-02-01T13:46:03Z,2021-02-01T13:46:14Z
bDfX,10,S4,115,2021-02-01T13:46:14Z,2021-02-01T13:48:09Z
DiOc,1,S1,179,2021-02-01T14:13:29Z,2021-02-01T14:16:28Z
DiOc,1,S2,86,2021-02-01T14:16:28Z,2021-02-01T14:17:54Z
DiOc,1,S3,119,2021-02-01T14:17:54Z,2021-02-01T14:19:53Z
DiOc,2,S2,39,2021-02-01T14:19:53Z,2021-02-01T14:20:32Z
DiOc,2,S3,23,2021-02-01T14:20:32Z,2021-02-01T14:20:55Z
DiOc,3,S2,251,2021-02-01T14:20:55Z,2021-02-01T14:25:06Z
DiOc,3,S3,26,2021-02-01T14:25:06Z,2021-02-01T14:25:32Z
DiOc,4,S2,48,2021-02-01T14:25:32Z,2021-02-01T14:26:20Z
DiOc,4,S3,4,2021-02-01T14:26:20Z,2021-02-01T14:26:24Z
DiOc,5,S2,7,2021-02-01T14:26:24Z,2021-02-01T14:26:31Z
DiOc,5,S3,15,2021-02-01T14:26:31Z,2021-02-01T14:26:46Z
DiOc,6,S2,14,2021-02-01T14:26:46Z,2021-02-01T14:27:00Z
